source_tree,original_relative_path,action,repository_path,modified_local,size_bytes,sha256,published_sha256,note
hw,246-48p_min/ProDoc_P1_2026-02-02.epro2,included,hardware/projects/core-boards/246-48p-min/ProDoc_P1_2026-02-02.epro2,2026-02-02T06:28:47+08:00,125109,AEF92D78C81E5BBCC4AEF7E7BA89472037CBDC0E73B4132ED30C9BD34260CB49,AEF92D78C81E5BBCC4AEF7E7BA89472037CBDC0E73B4132ED30C9BD34260CB49,246-48p 最小系统工程
hw,246-48p_min/ProDoc_PCB1_2026-02-02.epro2,included,hardware/projects/core-boards/246-48p-min/ProDoc_PCB1_2026-02-02.epro2,2026-02-02T06:47:31+08:00,95905,B5282C2F71840D75DCC645913FF8F854C16E2F2024AE861EEB1DF8A248D3346D,B5282C2F71840D75DCC645913FF8F854C16E2F2024AE861EEB1DF8A248D3346D,246-48p 最小系统工程
hw,5路运算放大器（OPA377+OPA4377).eprj2,omitted,,2026-04-21T23:51:58+08:00,2641920,9F0CC95DBF5DD6769A286FDAF0B6200BE29973930CC4A2537671E770D04C81A3,,原始立创 EDA SQLite 本地库含用户凭据；公开仓库仅接收重新导出的 .epro/.epro2
hw,AI8052U-48核心板-V1.0.eprj2,omitted,,2026-02-02T03:40:15+08:00,5877760,5124F48407A7A58B58F3E69242A9723753A39D9CCB6AA501B113F6F1482BC203,,原始立创 EDA SQLite 本地库含用户凭据；公开仓库仅接收重新导出的 .epro/.epro2
hw,AI8052U-64-furan-0203.eprj2,omitted,,2026-02-09T18:01:40+08:00,7307264,D87946E33A18B50B9DAB70B83596117007DCA89926341E352923C1609F37B24E,,原始立创 EDA SQLite 本地库含用户凭据；公开仓库仅接收重新导出的 .epro/.epro2
hw,AI8052U-64-furan-0203_backup/09a38df9580b46bf87e97675ddf3fe38/AI8052U-64-furan-0203_2026-02-07-16-45.zip,renamed,hardware/history/easyeda/AI8052U-64-furan-0203/AI8052U-64-furan-0203__20260207-164544.zip,2026-02-07T16:45:44+08:00,1394319,BDD78105EEABDB327CA408057901E672F258E38B8E32662EB54173A95AEDF7AE,BDD78105EEABDB327CA408057901E672F258E38B8E32662EB54173A95AEDF7AE,已审计的 EDA 导出/备份；按源修改时间归档; 追加源文件修改时间
hw,AI8052U-64-furan-0203_backup/09a38df9580b46bf87e97675ddf3fe38/AI8052U-64-furan-0203_2026-02-07-18-45.zip,renamed,hardware/history/easyeda/AI8052U-64-furan-0203/AI8052U-64-furan-0203__20260207-184545.zip,2026-02-07T18:45:45+08:00,1395149,3B76DF684E0E0BF0429F0F36A59EF9C04F3D324EB5C26E0AA71E160ACAC93B1D,3B76DF684E0E0BF0429F0F36A59EF9C04F3D324EB5C26E0AA71E160ACAC93B1D,已审计的 EDA 导出/备份；按源修改时间归档; 追加源文件修改时间
hw,AI8052U-64-furan-0203_backup/09a38df9580b46bf87e97675ddf3fe38/AI8052U-64-furan-0203_2026-02-08-19-18.zip,renamed,hardware/history/easyeda/AI8052U-64-furan-0203/AI8052U-64-furan-0203__20260208-191833.zip,2026-02-08T19:18:33+08:00,1374724,5D4A5C32AF926F07DDB4B952D5543C0CA8E7FDFF3BFFEF4D0FDE7A424602C554,5D4A5C32AF926F07DDB4B952D5543C0CA8E7FDFF3BFFEF4D0FDE7A424602C554,已审计的 EDA 导出/备份；按源修改时间归档; 追加源文件修改时间
hw,AI8052U-64-furan-0203_backup/09a38df9580b46bf87e97675ddf3fe38/AI8052U-64-furan-0203_2026-02-08-20-18.zip,renamed,hardware/history/easyeda/AI8052U-64-furan-0203/AI8052U-64-furan-0203__20260208-201833.zip,2026-02-08T20:18:33+08:00,1374872,460EB6462E177F0F8AF05FC1FF191EFA6841C35CA7E278C8F471FEA73DD2B861,460EB6462E177F0F8AF05FC1FF191EFA6841C35CA7E278C8F471FEA73DD2B861,已审计的 EDA 导出/备份；按源修改时间归档; 追加源文件修改时间
hw,AI8052U-64-furan-0203_backup/09a38df9580b46bf87e97675ddf3fe38/AI8052U-64-furan-0203_2026-02-08-21-18.zip,renamed,hardware/history/easyeda/AI8052U-64-furan-0203/AI8052U-64-furan-0203__20260208-211836.zip,2026-02-08T21:18:36+08:00,1369646,695D77CDF1BD5251CC14A0FE95A9F1C106F12FF3A5B8F9B361846757AB09CADB,695D77CDF1BD5251CC14A0FE95A9F1C106F12FF3A5B8F9B361846757AB09CADB,已审计的 EDA 导出/备份；按源修改时间归档; 追加源文件修改时间
